WINTER,DAYS,Moving_Average_5,Moving_Average_10,weighted_moving_average_5,Ratio,Trend,Two_Periods
1855,118,,,,,,1
1856,151,,,,,,1
1857,121,,,,,,1
1858,96,,,,,,1
1859,110,119.2,,114.4666667,1.040606061,116.8246593,1
1860,117,119,,113.7333333,0.972079772,116.6439582,1
1861,132,115.2,,118.0666667,0.894444444,116.463257,1
1862,104,111.8,,114.3333333,1.099358974,116.2825558,1
1863,125,117.6,,118.7333333,0.949866667,116.1018546,1
1864,118,119.2,119.2,118.8666667,1.007344633,115.9211534,1
1865,125,120.8,119.9,120.8,0.9664,115.7404523,1
1866,123,119,117.1,121.5333333,0.988075881,115.5597511,1
1867,110,120.2,116,118.5333333,1.077575758,115.3790499,1
1868,127,120.6,119.1,120.8,0.951181102,115.1983487,1
1869,131,123.2,121.2,124.2666667,0.948600509,115.0176475,1
1870,99,118,119.4,116.2,1.173737374,114.8369464,1
1871,126,118.6,118.8,118.8666667,0.943386243,114.6562452,1
1872,144,125.4,122.8,127.3333333,0.884259259,114.475544,1
1873,136,127.2,123.9,130.8666667,0.962254902,114.2948428,1
1874,126,126.2,124.7,130.4666667,1.035449735,114.1141417,1
1875,91,124.6,121.3,118.7333333,1.304761905,113.9334405,1
1876,130,125.4,122,120.5333333,0.927179487,113.7527393,1
1877,62,109,117.2,99.4,1.603225806,113.5720381,1
1878,112,104.2,115.7,100.4,0.896428571,113.3913369,1
1879,99,98.8,112.5,98.66666667,0.996632997,113.2106358,1
1880,161,112.8,118.7,119.4,0.741614907,113.0299346,1
1881,78,102.4,113.9,107.8,1.382051282,112.8492334,1
1882,124,114.8,111.9,115,0.927419355,112.6685322,1
1883,119,116.2,110.2,116.4,0.978151261,112.4878311,1
1884,124,121.2,110,119,0.959677419,112.3071299,1
1885,128,114.6,113.7,121.2666667,0.947395833,112.1264287,1
1886,131,125.2,113.8,126.7333333,0.967430025,111.9457275,1
1887,113,123,118.9,122.6666667,1.085545723,111.7650263,1
1888,88,116.8,116.5,111,1.261363636,111.5843252,1
1889,75,107,114.1,97.06666667,1.294222222,111.403624,1
1890,111,103.6,109.1,98.4,0.886486486,111.2229228,1
1891,97,96.8,111,96.2,0.991752577,111.0422216,1
1892,112,96.6,109.8,101.2666667,0.904166667,110.8615204,1
1893,101,99.2,108,102.7333333,1.017161716,110.6808193,1
1894,101,104.4,105.7,103.3333333,1.02310231,110.5001181,1
1895,91,100.4,102,98.86666667,1.086446886,110.3194169,1
1896,110,103,99.9,102.0666667,0.927878788,110.1387157,1
1897,100,100.6,98.6,101.0666667,1.010666667,109.9580146,1
1898,130,106.4,102.8,110.8666667,0.852820513,109.7773134,1
1899,111,108.4,106.4,112.4,1.012612613,109.5966122,1
1900,107,111.6,106,111.9333333,1.046105919,109.415911,1
1901,105,110.6,106.8,109.7333333,1.045079365,109.2352098,1
1902,89,108.4,104.5,102.5333333,1.152059925,109.0545087,1
1903,126,107.6,107,108.4,0.86031746,108.8738075,1
1904,108,107,107.7,108.5333333,1.004938272,108.6931063,1
1905,97,105,108.3,105.2,1.084536082,108.5124051,1
1906,94,102.8,106.7,101.5333333,1.080141844,108.331704,1
1907,83,101.6,105,94.93333333,1.1437751,108.1510028,1
1908,106,97.6,102.6,96.4,0.909433962,107.9703016,1
1909,98,95.6,101.3,96.53333333,0.985034014,107.7896004,1
1910,101,96.4,100.7,98.33333333,0.97359736,107.6088992,1
1911,108,99.2,101,102.2,0.946296296,107.4281981,1
1912,99,102.4,102,102.1333333,1.031649832,107.2474969,1
1913,88,98.8,98.2,97.33333333,1.106060606,107.0667957,1
1914,115,102.2,98.9,102.7333333,0.893333333,106.8860945,1
1915,102,102.4,99.4,102.6666667,1.006535948,106.7053933,1
1916,116,104,101.6,107.2,0.924137931,106.5246922,1
1917,115,107.2,104.8,110.8666667,0.964057971,106.343991,1
1918,82,106,102.4,102.4666667,1.249593496,106.1632898,1
1919,110,105,103.6,103.8,0.943636364,105.9825886,1
1920,81,100.8,101.6,95.8,1.182716049,105.8018875,1
1921,96,96.8,100.4,94.2,0.98125,105.6211863,1
1922,125,98.8,103,103.6,0.8288,105.4404851,1
1923,104,103.2,104.6,105.3333333,1.012820513,105.2597839,1
1924,105,102.2,103.6,105.9333333,1.008888889,105.0790827,1
1925,124,110.8,105.8,113.2,0.912903226,104.8983816,1
1926,103,112.2,104.5,110.6,1.073786408,104.7176804,1
1927,106,108.4,103.6,108.5333333,1.023899371,104.5369792,1
1928,96,106.8,105,104.4,1.0875,104.356278,1
1929,107,107.2,104.7,104.4666667,0.976323988,104.1755769,1
1930,98,102,106.4,101.4,1.034693878,103.9948757,1
1931,65,94.4,103.3,89.06666667,1.37025641,103.8141745,1
1932,115,96.2,102.3,95.93333333,0.834202899,103.6334733,1
1933,91,95.2,101,94.2,1.035164835,103.4527721,1
1934,94,92.6,99.9,93.8,0.99787234,103.272071,1
1935,101,93.2,97.6,96.6,0.956435644,103.0913698,1
1936,144,109,101.7,113.5333333,0.788425926,102.9106686,2
1937,105,107,101.6,112.2,1.068571429,102.7299674,1
1938,97,108.2,101.7,108.8666667,1.12233677,102.5492662,1
1939,105,110.4,101.5,107.8,1.026666667,102.3685651,1
1940,96,109.4,101.3,103,1.072916667,102.1878639,1
1941,82,97,103,93.86666667,1.144715447,102.0071627,1
1942,116,99.2,103.1,100.2,0.863793103,101.8264615,1
1943,114,102.6,105.4,105.1333333,0.922222222,101.6457604,1
1944,92,100,105.2,101.6,1.104347826,101.4650592,1
1945,98,100.4,104.9,100.9333333,1.029931973,101.284358,1
1946,101,104.2,100.6,101.1333333,1.001320132,101.1036568,1
1947,104,101.8,100.5,101.0666667,0.971794872,100.9229556,1
1948,96,98.2,100.4,99.13333333,1.032638889,100.7422545,1
1949,109,101.6,100.8,102.7333333,0.942507645,100.5615533,1
1950,122,106.4,103.4,109.5333333,0.897814208,100.3808521,1
1951,114,109,106.6,112.0666667,0.983040936,100.2001509,1
1952,81,104.4,103.1,102.7333333,1.268312757,100.0194498,1
1953,85,102.2,100.2,96.26666667,1.13254902,99.83874857,1
1954,92,98.8,100.2,92.86666667,1.00942029,99.6580474,1
1955,114,97.2,101.8,97.93333333,0.859064327,99.47734622,1
1956,111,96.6,102.8,102.5333333,0.923723724,99.29664504,1
1957,95,99.4,101.9,102,1.073684211,99.11594386,1
1958,126,107.6,104.9,110.8666667,0.87989418,98.93524268,1
1959,105,110.2,104.5,110,1.047619048,98.7545415,1
1960,108,109,103.1,109.2666667,1.011728395,98.57384033,1
1961,117,110.2,103.4,111.9333333,0.956695157,98.39313915,1
1962,112,113.6,106.5,112.5333333,1.004761905,98.21243797,1
1963,113,111,109.3,112.3333333,0.994100295,98.03173679,1
1964,120,114,112.1,115.3333333,0.961111111,97.85103561,1
1965,65,105.4,107.2,99,1.523076923,97.67033443,1
1966,98,101.6,105.9,96.53333333,0.985034014,97.48963326,1
1967,91,97.4,105.5,93,1.021978022,97.30893208,1
1968,110,96.8,103.9,97.2,0.883636364,97.1282309,2
1969,113,95.4,104.7,102.6,0.907964602,96.94752972,1
1970,110,104.4,104.9,107.4666667,0.976969697,96.76682854,1
1971,105,105.8,103.7,107.6666667,1.025396825,96.58612737,1
1972,97,107,102.2,104.7333333,1.079725086,96.40542619,1
1973,105,106,101.4,104.0666667,0.991111111,96.22472501,1
1974,107,104.8,100.1,104.4,0.975700935,96.04402383,1
1975,88,100.4,102.4,98.8,1.122727273,95.86332265,1
1976,115,102.4,104.1,103.6666667,0.901449275,95.68262147,1
1977,124,107.8,107.4,110.8666667,0.894086022,95.5019203,2
1978,121,111,108.5,115.2666667,0.95261708,95.32121912,2
1979,99,109.4,107.1,111.2666667,1.123905724,95.14051794,1
1980,93,110.4,105.4,105.8,1.137634409,94.95981676,1
1981,96,106.6,104.5,101,1.052083333,94.77911558,1
1982,54,92.6,100.2,83.46666667,1.545679012,94.5984144,1
1983,111,90.6,100.8,89.6,0.807207207,94.41771323,1
1984,86,88,98.7,88.06666667,1.024031008,94.23701205,2
1985,107,90.8,100.6,94.4,0.882242991,94.05631087,1
1986,89,89.4,98,93.8,1.053932584,93.87560969,1
1987,87,96,94.3,93,1.068965517,93.69490851,1
1988,97,93.2,91.9,93.33333333,0.962199313,93.51420733,1
1989,93,94.6,91.3,93.26666667,1.002867384,93.33350616,1
1990,88,90.8,90.8,91.06666667,1.034848485,93.15280498,1
1991,99,92.8,91.1,93.8,0.947474747,92.9721038,1
1992,108,97,96.5,98.86666667,0.915432099,92.79140262,1
1993,94,96.4,94.8,97.86666667,1.041134752,92.61070144,1
1994,74,92.6,93.6,90.4,1.221621622,92.43000027,1
1995,119,98.8,94.8,99.2,0.833613445,92.24929909,1
1996,102,99.4,96.1,100.2666667,0.983006536,92.06859791,1
1997,47,87.2,92.1,82.8,1.761702128,91.88789673,1
1998,82,84.8,90.6,81.06666667,0.988617886,91.70719555,1
1999,53,80.6,86.6,70.46666667,1.329559748,91.52649437,1
2000,115,79.8,89.3,81.93333333,0.712463768,91.3457932,1
2001,31,65.6,82.5,65.66666667,2.11827957,91.16509202,2
2002,89,74,80.6,73.46666667,0.825468165,90.98439084,1
2003,80,73.6,79.2,75.46666667,0.943333333,90.80368966,1
2004,101,83.2,81.9,84.6,0.837623762,90.62298848,1
2005,95,79.2,79.5,88.53333333,0.931929825,90.4422873,1
2006,66,86.2,75.9,84.13333333,1.274747475,90.26158613,1
2007,106,89.6,81.8,90.73333333,0.855974843,90.08088495,1
2008,97,93,83.3,93.2,0.960824742,89.90018377,1
2009,87,90.2,86.7,91.2,1.048275862,89.71948259,1
2010,109,93,86.1,97.46666667,0.894189602,89.53878141,1
2011,57,91.2,88.7,85.46666667,1.499415205,89.35808024,1
2012,87,87.4,88.5,84.06666667,0.966283525,89.17737906,1
2013,117,91.4,92.2,93.93333333,0.802849003,88.99667788,1
2014,91,92.2,91.2,93.8,1.030769231,88.8159767,1
2015,62,82.8,87.9,83.73333333,1.350537634,88.63527552,1
2016,65,84.4,87.8,77.8,1.196923077,88.45457434,1
2017,94,85.8,86.6,81,0.861702128,88.27387317,1
